Location,Ant_ID,Ant_ID_(partner),start_time,end_time,,,,,,,,,,,,,,,,,,,,,
1,819,199,7314,7456,,,,,,,,,,,,,,,,,,,,,
1,199,819,7314,7456,,,,,,,,,,,,,,,,,,,,,
1,790,15,7318,7463,,,,,,,,,,,,,,,,,,,,,
1,15,790,7318,7463,,,,,,,,,,,,,,,,,,,,,
1,269,161,7325,7352,,,,,,,,,,,,,,,,,,,,,
1,161,269,7325,7352,,,,,,,,,,,,,,,,,,,,,
1,161,269,7355,7410,,,,,,,,,,,,,,,,,,,,,
1,269,161,7355,7410,,,,,,,,,,,,,,,,,,,,,
1,15,199,7484,7557,,,,,,,,,,,,,,,,,,,,,
1,199,15,7484,7557,,,,,,,,,,,,,,,,,,,,,
1,166,175,7547,7555,,,,,,,,,,,,,,,,,,,,,
1,175,166,7547,7555,,,,,,,,,,,,,,,,,,,,,
1,161,594,7576,7584,,,,,,,,,,,,,,,,,,,,,
1,594,161,7576,7584,,,,,,,,,,,,,,,,,,,,,
1,36,797,7584,7703,,,,,,,,,,,,,,,,,,,,,
1,797,36,7584,7703,,,,,,,,,,,,,,,,,,,,,
1,637,819,7599,7607,,,,,,,,,,,,,,,,,,,,,
1,819,637,7599,7607,,,,,,,,,,,,,,,,,,,,,
1,76,429,7608,7674,,,,,,,,,,,,,,,,,,,,,
1,429,76,7608,7674,,,,,,,,,,,,,,,,,,,,,
1,101,269,7618,7712,,,,,,,,,,,,,,,,,,,,,
1,269,101,7618,7712,,,,,,,,,,,,,,,,,,,,,
1,174,1,7620,7627,,,,,,,,,,,,,,,,,,,,,
1,1,174,7620,7627,,,,,,,,,,,,,,,,,,,,,
1,175,262,7652,7710,,,,,,,,,,,,,,,,,,,,,
1,262,175,7652,7710,,,,,,,,,,,,,,,,,,,,,
1,539,763,7674,7719,,,,,,,,,,,,,,,,,,,,,
1,763,539,7674,7719,,,,,,,,,,,,,,,,,,,,,
1,109,NA,7740,7798,,,,,,,,,,,,,,,,,,,,,
1,NA,109,7740,7798,,,,,,,,,,,,,,,,,,,,,
1,199,797,7758,7954,,,,,,,,,,,,,,,,,,,,,
1,797,199,7758,7954,,,,,,,,,,,,,,,,,,,,,
1,202,298,7792,7858,,,,,,,,,,,,,,,,,,,,,
1,298,202,7792,7858,,,,,,,,,,,,,,,,,,,,,
1,36,269,7802,7863,,,,,,,,,,,,,,,,,,,,,
1,269,36,7802,7863,,,,,,,,,,,,,,,,,,,,,
1,571,818,7809,7830,,,,,,,,,,,,,,,,,,,,,
1,818,571,7809,7830,,,,,,,,,,,,,,,,,,,,,
1,109,NA,7812,7876,,,,,,,,,,,,,,,,,,,,,
1,NA,109,7812,7876,,,,,,,,,,,,,,,,,,,,,
1,109,818,7937,7999,,,,,,,,,,,,,,,,,,,,,
